time,gFx,gFy,gFz,TgF
0.00138474,-0.1864,0.2455,0.6745,0.742
0.001707604,-0.1893,0.2367,0.6589,0.725
0.00262099,-0.1910,0.2277,0.6444,0.710
0.006298334,-0.1905,0.2187,0.6357,0.699
0.007879167,-0.1866,0.2125,0.6298,0.690
0.010139479,-0.1918,0.2128,0.6220,0.685
0.01248125,-0.2074,0.2208,0.6068,0.678
0.015247813,-0.2052,0.2169,0.6212,0.689
0.017640521,-0.2018,0.2084,0.6444,0.707
0.020131094,-0.2003,0.2011,0.6650,0.723
0.022568386,-0.2094,0.1932,0.6713,0.729
0.025279636,-0.2221,0.1891,0.6723,0.733
0.027567761,-0.2331,0.1869,0.6672,0.731
0.029938698,-0.2370,0.1842,0.6606,0.726
0.032359584,-0.2379,0.1813,0.6547,0.720
0.035498125,-0.2360,0.1774,0.6515,0.715
0.037317448,-0.2370,0.1739,0.6537,0.717
0.040183906,-0.2404,0.1673,0.6501,0.713
0.04277474,-0.2443,0.1595,0.6437,0.707
0.045044427,-0.2462,0.1520,0.6349,0.698
0.047604584,-0.2448,0.1444,0.6225,0.684
0.050020209,-0.2462,0.1336,0.6107,0.672
0.052461979,-0.2480,0.1263,0.6012,0.662
0.055106146,-0.2531,0.1214,0.5900,0.653
0.057471719,-0.2570,0.1168,0.5817,0.647
0.060123959,-0.2621,0.1146,0.5739,0.641
0.062472396,-0.2680,0.1112,0.5643,0.635
0.065295261,-0.2714,0.1114,0.5548,0.628
0.067379323,-0.2736,0.1053,0.5418,0.616
0.069845209,-0.2775,0.1019,0.5313,0.608
0.072559688,-0.2822,0.0958,0.5206,0.600
0.075161719,-0.2905,0.0950,0.5086,0.593
0.077880573,-0.2985,0.0950,0.4991,0.589
0.080371667,-0.3058,0.0911,0.4874,0.583
0.082908281,-0.3112,0.0906,0.4764,0.576
0.085086094,-0.3176,0.0867,0.4659,0.570
0.087661094,-0.3232,0.0833,0.4566,0.566
0.090194531,-0.3261,0.0791,0.4434,0.556
0.092792604,-0.3286,0.0765,0.4300,0.547
0.0951925,-0.3288,0.0721,0.4160,0.535
0.097639531,-0.3288,0.0664,0.4085,0.529
0.10007875,-0.3283,0.0601,0.3980,0.519
0.102491771,-0.3276,0.0542,0.3897,0.512
