time,gFx,gFy,gFz,TgF
0.001192187,-0.1608,0.3853,0.8179,0.918
0.001681041,-0.1615,0.3838,0.8157,0.916
0.003959687,-0.1605,0.3848,0.8167,0.917
0.00902302,-0.1588,0.3850,0.8216,0.921
0.009481041,-0.1588,0.3831,0.8269,0.925
0.011731145,-0.1595,0.3818,0.8328,0.930
0.014033697,-0.1590,0.3818,0.8387,0.935
0.016584739,-0.1603,0.3796,0.8462,0.941
0.019006822,-0.1617,0.3762,0.8516,0.945
0.021992395,-0.1615,0.3735,0.8592,0.951
0.02400151,-0.1615,0.3708,0.8655,0.955
0.026560572,-0.1610,0.3706,0.8719,0.961
0.029261302,-0.1612,0.3677,0.8765,0.964
0.031651874,-0.1620,0.3662,0.8790,0.966
0.034156718,-0.1639,0.3637,0.8807,0.967
0.036877812,-0.1642,0.3635,0.8829,0.969
0.040320104,-0.1625,0.3606,0.8853,0.970
0.041621354,-0.1610,0.3608,0.8865,0.971
0.044124999,-0.1590,0.3586,0.8885,0.971
0.047125208,-0.1581,0.3564,0.8897,0.971
0.049525937,-0.1583,0.3532,0.8905,0.971
0.051824739,-0.1566,0.3513,0.8917,0.971
0.053938749,-0.1539,0.3489,0.8910,0.969
0.056653958,-0.1478,0.3459,0.8910,0.967
0.059434635,-0.1444,0.3442,0.8875,0.963
0.061713281,-0.1409,0.3396,0.8831,0.957
0.06416552,-0.1375,0.3384,0.8787,0.952
0.067022656,-0.1322,0.3354,0.8790,0.950
0.069346302,-0.1290,0.3347,0.8763,0.947
0.072202447,-0.1246,0.3349,0.8726,0.943
0.074193489,-0.1204,0.3332,0.8692,0.939
0.076592812,-0.1175,0.3366,0.8655,0.936
0.078963072,-0.1212,0.3405,0.8563,0.929
0.081838697,-0.1243,0.3447,0.8465,0.922
0.084408802,-0.1275,0.3508,0.8382,0.918
0.086551302,-0.1314,0.3552,0.8340,0.916
0.089343437,-0.1331,0.3581,0.8291,0.913
0.091849427,-0.1334,0.3613,0.8245,0.910
0.094077291,-0.1339,0.3625,0.8235,0.910
0.097356406,-0.1324,0.3613,0.8218,0.907
0.099230416,-0.1292,0.3608,0.8194,0.905
0.101555208,-0.1239,0.3618,0.8174,0.902
0.103976979,-0.1199,0.3615,0.8152,0.900
0.106752135,-0.1177,0.3606,0.8120,0.896
0.109515729,-0.1173,0.3584,0.8101,0.894
0.111864531,-0.1219,0.3528,0.8079,0.890
0.11410526,-0.1278,0.3498,0.8047,0.887
0.116671822,-0.1336,0.3454,0.8006,0.882
0.119022135,-0.1385,0.3413,0.7993,0.880
0.12168151,-0.1454,0.3379,0.7954,0.876
0.12422151,-0.1510,0.3322,0.7913,0.871
0.126687864,-0.1568,0.3313,0.7918,0.872
0.129245052,-0.1659,0.3276,0.7908,0.872
0.131737239,-0.1737,0.3227,0.7883,0.869
0.134270729,-0.1842,0.3191,0.7835,0.866
0.136792968,-0.2045,0.3156,0.7607,0.849
0.139388749,-0.2421,0.3088,0.7011,0.803
0.141961197,-0.2375,0.2878,0.6889,0.783
0.144005572,-0.2216,0.2634,0.6906,0.772
0.146680781,-0.2106,0.2658,0.7187,0.795
0.149654687,-0.2106,0.2785,0.7551,0.832
0.151737343,-0.2191,0.2961,0.7937,0.875
0.154051249,-0.2328,0.3139,0.8321,0.919
0.156918437,-0.2467,0.3274,0.8716,0.963
0.15922651,-0.2592,0.3366,0.9078,1.002
0.161710104,-0.2709,0.3413,0.9332,1.030
0.164160416,-0.2783,0.3391,0.9501,1.046
0.166590885,-0.2846,0.3359,0.9613,1.057
0.169212916,-0.2890,0.3286,0.9645,1.059
0.172264999,-0.2914,0.3222,0.9601,1.054
0.174093489,-0.2905,0.3139,0.9537,1.045
0.176742291,-0.2878,0.3046,0.9432,1.032
0.179059479,-0.2844,0.2971,0.9308,1.018
0.181678593,-0.2819,0.2902,0.9173,1.003
0.184180052,-0.2792,0.2863,0.9019,0.987
0.186794843,-0.2778,0.2829,0.8907,0.975
0.189281979,-0.2739,0.2800,0.8792,0.962
0.191807239,-0.2700,0.2805,0.8614,0.945
0.194097604,-0.2617,0.2792,0.8372,0.921
0.196650937,-0.2509,0.2753,0.8108,0.892
0.199344531,-0.2375,0.2734,0.7857,0.865
0.201862916,-0.2245,0.2704,0.7583,0.836
0.20404927,-0.2155,0.2682,0.7322,0.809
0.206950989,-0.2072,0.2658,0.7097,0.786
0.209382187,-0.2035,0.2641,0.6923,0.768
0.211657031,-0.2028,0.2595,0.6801,0.756
0.214117187,-0.2042,0.2538,0.6708,0.746
0.216916041,-0.2099,0.2497,0.6630,0.739
0.219091979,-0.2165,0.2484,0.6601,0.738
0.221842291,-0.2235,0.2472,0.6616,0.741
0.224633333,-0.2323,0.2487,0.6686,0.750
0.22691776,-0.2416,0.2501,0.6760,0.760
0.229296979,-0.2519,0.2509,0.6835,0.770
0.23202427,-0.2643,0.2504,0.6877,0.778
0.234797291,-0.2785,0.2467,0.6899,0.784
0.23677927,-0.2905,0.2389,0.6887,0.785
0.239447499,-0.3017,0.2020,0.6853,0.776
0.241852083,-0.3041,0.1686,0.6779,0.762
0.24407526,-0.3095,0.1437,0.6571,0.740
0.247235781,-0.3107,0.1275,0.6452,0.727
0.249668124,-0.3122,0.1190,0.6425,0.724
0.251913541,-0.3110,0.1185,0.6493,0.730
0.25410177,-0.3090,0.1302,0.6589,0.739
0.256832812,-0.3105,0.1471,0.6716,0.754
0.259257239,-0.3098,0.1634,0.6845,0.769
0.261829895,-0.3093,0.1756,0.6909,0.777
0.264285416,-0.3080,0.1835,0.6936,0.781
0.266816093,-0.3088,0.1849,0.6921,0.780
0.26943776,-0.3137,0.1805,0.6884,0.778
0.271767395,-0.3161,0.1708,0.6833,0.772
0.274389479,-0.3198,0.1573,0.6799,0.768
0.276836822,-0.3227,0.1402,0.6748,0.761
0.279074947,-0.3274,0.1258,0.6706,0.757
0.281921614,-0.3327,0.1126,0.6635,0.751
0.284299739,-0.3376,0.0980,0.6591,0.747
0.286629374,-0.3410,0.0897,0.6532,0.742
0.289338854,-0.3445,0.0823,0.6469,0.737
0.292046041,-0.3459,0.0796,0.6400,0.732
0.294122656,-0.3467,0.0760,0.6330,0.726
0.297358541,-0.3493,0.0757,0.6239,0.719
0.299289166,-0.3503,0.0735,0.6147,0.711
0.301770312,-0.3530,0.0738,0.6029,0.703
0.304146406,-0.3547,0.0738,0.5892,0.692
0.307299062,-0.3586,0.0684,0.5743,0.681
0.309506249,-0.3652,0.0642,0.5590,0.671
0.311767447,-0.3708,0.0572,0.5416,0.659
0.314234374,-0.3731,0.0467,0.5216,0.643
0.316711666,-0.3726,0.0386,0.5006,0.625
0.319216093,-0.3701,0.0298,0.4778,0.605
0.322158333,-0.3635,0.0195,0.4583,0.585
0.324213281,-0.3574,0.0117,0.4393,0.566
0.326640833,-0.3520,0.0039,0.4185,0.547
0.329359531,-0.3476,-0.0063,0.3992,0.529
0.332006041,-0.3481,-0.0164,0.3804,0.516
0.334282968,-0.3498,-0.0278,0.3615,0.504
0.336840416,-0.3530,-0.0406,0.3462,0.496
0.340255468,-0.3589,-0.0555,0.3286,0.490
0.341755729,-0.3630,-0.0716,0.3127,0.484
0.344213437,-0.3684,-0.0919,0.2953,0.481
0.34699151,-0.3698,-0.1121,0.2775,0.476
0.349709999,-0.3706,-0.1329,0.2595,0.471
0.352006249,-0.3708,-0.1546,0.2401,0.468
0.35412927,-0.3701,-0.1759,0.2206,0.465
0.356819999,-0.3696,-0.2011,0.2006,0.466
0.359379583,-0.3669,-0.2296,0.1827,0.470
0.361800364,-0.3662,-0.2563,0.1644,0.476
0.364244374,-0.3672,-0.2822,0.1542,0.488
0.367538593,-0.3711,-0.3049,0.1481,0.503
0.369531145,-0.3794,-0.3281,0.1437,0.522
0.372165156,-0.3884,-0.3447,0.1441,0.539
0.374288124,-0.4006,-0.3545,0.1466,0.555
0.376901406,-0.4141,-0.3613,0.1483,0.569
0.379240885,-0.4236,-0.3659,0.1515,0.580
0.382094374,-0.4368,-0.3672,0.1573,0.592
0.384289739,-0.4502,-0.3679,0.1620,0.604
0.386779739,-0.4654,-0.3647,0.1664,0.614
0.389481874,-0.4817,-0.3611,0.1698,0.626
0.391860312,-0.5037,-0.3547,0.1725,0.640
0.39420901,-0.5265,-0.3501,0.1732,0.656
0.397314739,-0.5511,-0.3442,0.1754,0.673
0.399314531,-0.5726,-0.3403,0.1756,0.689
0.401791406,-0.5934,-0.3374,0.1756,0.705
0.404248072,-0.6151,-0.3347,0.1727,0.721
0.407067916,-0.6357,-0.3352,0.1691,0.738
0.409590729,-0.6559,-0.3403,0.1698,0.758
0.412099583,-0.6789,-0.3476,0.1698,0.781
0.414470989,-0.7023,-0.3535,0.1715,0.805
0.416859739,-0.7258,-0.3623,0.1717,0.829
0.419230104,-0.7493,-0.3711,0.1703,0.853
0.422106666,-0.7681,-0.3814,0.1698,0.874
0.424301301,-0.7822,-0.3933,0.1710,0.892
0.426866041,-0.7954,-0.4036,0.1722,0.908
0.429306041,-0.8057,-0.4143,0.1730,0.922
0.432101874,-0.8125,-0.4241,0.1769,0.933
0.434273801,-0.8201,-0.4339,0.1791,0.945
0.436705156,-0.8189,-0.4466,0.1820,0.950
0.440228749,-0.8147,-0.4603,0.1849,0.954
0.442087083,-0.8089,-0.4747,0.1896,0.957
0.444382708,-0.8013,-0.4881,0.1944,0.958
0.447188541,-0.7942,-0.5028,0.1962,0.960
0.449760833,-0.7881,-0.5162,0.1959,0.962
0.451964062,-0.7827,-0.5308,0.1998,0.967
0.454192968,-0.7842,-0.5443,0.2038,0.976
0.457215624,-0.7896,-0.5568,0.2069,0.988
0.459364895,-0.7998,-0.5719,0.2103,1.006
0.46180526,-0.8120,-0.5885,0.2147,1.026
0.464286406,-0.8262,-0.6054,0.2187,1.047
0.466951354,-0.8404,-0.6225,0.2223,1.069
0.469500364,-0.8499,-0.6371,0.2267,1.086
0.472339687,-0.8558,-0.6481,0.2309,1.098
0.474335416,-0.8607,-0.6554,0.2355,1.107
0.476835781,-0.8658,-0.6574,0.2387,1.113
0.47923302,-0.8777,-0.6601,0.2396,1.124
0.481864999,-0.8905,-0.6606,0.2406,1.135
0.484402291,-0.9054,-0.6601,0.2423,1.146
0.486908645,-0.9222,-0.6596,0.2448,1.160
0.489479062,-0.9356,-0.6594,0.2448,1.171
0.491936041,-0.9518,-0.6586,0.2445,1.183
0.49425151,-0.9677,-0.6586,0.2411,1.195
0.497276718,-0.9862,-0.6584,0.2399,1.210
0.499409322,-1.0068,-0.6606,0.2375,1.227
0.502022968,-1.0285,-0.6652,0.2343,1.247
0.504387603,-1.0502,-0.6726,0.2328,1.269
0.507175156,-1.0720,-0.6823,0.2338,1.292
0.509689583,-1.0935,-0.6921,0.2348,1.315
