time,gFx,gFy,gFz
0.0,0.909,-0.0828,0.4129
0.001497551999989355,0.9083,-0.0845,0.4133
0.003982500000006439,0.911,-0.085,0.4133
0.006252291000009791,0.9102,-0.0852,0.4129
0.010124270000005708,0.9102,-0.0843,0.4126
0.012669687000027352,0.9093,-0.0845,0.4119
0.014251562000026752,0.9095,-0.0838,0.4126
0.01734703099998569,0.9117,-0.084,0.4124
0.019202812000003178,0.9117,-0.083,0.4111
0.021454947999984597,0.9102,-0.0821,0.4121
0.024781302000008054,0.9102,-0.0833,0.4131
0.03128390599999875,0.9093,-0.0852,0.4143
0.031947394999974676,0.909,-0.084,0.4136
0.032554322999999386,0.9098,-0.085,0.4148
0.03396286399998871,0.9095,-0.0855,0.4143
0.0388899480000191,0.9083,-0.0835,0.4141
0.039262031000021125,0.9085,-0.0826,0.4141
0.04137411400000701,0.9068,-0.0835,0.4133
0.044659738999996534,0.9076,-0.0821,0.4119
0.04624380199999223,0.9081,-0.0806,0.4129
0.05003052000000707,0.9085,-0.0801,0.4136
0.05261708299997281,0.9102,-0.0818,0.4138
0.0545234890000188,0.9088,-0.084,0.4131
0.056605729000011706,0.9093,-0.0838,0.4136
0.05987411400002429,0.9083,-0.0843,0.4146
0.06206093700001247,0.9088,-0.0835,0.4146
0.06399463499997182,0.9095,-0.0828,0.4158
0.06690328100000897,0.9083,-0.0848,0.4163
0.06967041600000812,0.9085,-0.0835,0.4146
0.07137801999999738,0.9085,-0.0833,0.4133
0.0740955200000144,0.909,-0.0838,0.4141
0.0768014060000155,0.9071,-0.0833,0.4143
0.07884781199999225,0.9071,-0.0852,0.4133
0.08255525999999236,0.9095,-0.0843,0.4131
0.08612875000000031,0.9093,-0.0826,0.4116
0.08674901000000546,0.9098,-0.0823,0.4126
0.09032979099998784,0.909,-0.083,0.4121
0.0914950520000275,0.9093,-0.0838,0.4116
0.09491551999997228,0.9095,-0.0833,0.4124
0.0966799999999921,0.9093,-0.0821,0.4129
0.09999067699999387,0.9098,-0.083,0.4146
0.10249843700000838,0.9112,-0.0835,0.4143
0.10437510399998473,0.9107,-0.0821,0.4129
0.10691692699998612,0.911,-0.0828,0.4133
0.12391301999997495,0.9117,-0.0848,0.4119
0.12473791600001505,0.9102,-0.0838,0.4129
0.1251403640000035,0.9098,-0.0838,0.4133
0.12552156200001718,0.9083,-0.0848,0.4124
0.12588677000002235,0.9098,-0.0852,0.4131
0.1262806770000111,0.9102,-0.0816,0.4111
0.12666937500000586,0.9107,-0.0823,0.4126
0.12708791599999358,0.9105,-0.0813,0.4129
0.13152916600000708,0.9102,-0.0833,0.4129
0.13189645799997152,0.9117,-0.0833,0.4121
0.1330422909999811,0.9095,-0.0826,0.4138
0.13610531199998377,0.9107,-0.0823,0.4138
0.13819505200001458,0.9083,-0.0826,0.4143
0.141012083000021,0.9085,-0.0823,0.4138
0.14467348900001298,0.9102,-0.0823,0.4131
0.14697536400001354,0.9107,-0.083,0.4129
0.14937525999999934,0.9102,-0.0845,0.4126
0.15218697900002098,0.9095,-0.086,0.4126
0.1541464580000138,0.9093,-0.0855,0.4116
0.15703145800000584,0.9085,-0.0845,0.4119
0.16080567699998483,0.9105,-0.0845,0.4131
0.1616845830000102,0.9102,-0.0838,0.4143
0.16425473900000043,0.911,-0.0833,0.4133
0.1673461969999721,0.911,-0.0838,0.4121
0.16972255199999609,0.9085,-0.0828,0.4138
0.1723817179999969,0.911,-0.0835,0.4131
0.174081249999972,0.912,-0.0821,0.4109
0.1772050519999766,0.911,-0.083,0.4129
0.17944968699998753,0.9093,-0.0828,0.4129
0.18308958300002587,0.9088,-0.0821,0.4121
0.1861465100000146,0.91,-0.0818,0.4138
0.1872531249999838,0.9112,-0.0818,0.4146
0.18986031200000753,0.9102,-0.083,0.4129
0.19186328099999628,0.9117,-0.0826,0.4141
0.19463906200002157,0.9107,-0.0833,0.4121
0.19879057200000716,0.911,-0.0833,0.4119
0.20126197899998033,0.91,-0.085,0.4111
0.20169291600001316,0.9102,-0.0855,0.4114
0.20406880199999478,0.91,-0.085,0.4129
