time,gFx,gFy,gFz
0.0,0.9144,-0.064,0.4067
0.0022405729999945834,0.9142,-0.0657,0.4082
0.005192239999985304,0.9134,-0.0662,0.4072
0.007876614999986487,0.9127,-0.0657,0.4065
0.009778124999996862,0.9142,-0.0657,0.4067
0.011666458000007651,0.9139,-0.0647,0.4063
0.015364167000001316,0.9139,-0.0642,0.407
0.017193749999989905,0.9129,-0.0647,0.4075
0.02020057299998257,0.9142,-0.0667,0.4087
0.0226517709999996,0.9151,-0.0667,0.4075
0.024716561999980513,0.9142,-0.0647,0.4082
0.027703801999990674,0.9161,-0.065,0.408
0.029159739999983003,0.9164,-0.066,0.4067
0.03460854200000085,0.9166,-0.0633,0.4075
0.03531692699999667,0.9151,-0.066,0.408
0.036847916999988684,0.9156,-0.0674,0.4082
0.039764999999988504,0.9159,-0.0655,0.4072
0.042197811999983514,0.9159,-0.0655,0.4075
0.04432645800000046,0.9166,-0.064,0.4085
0.04684151000000725,0.9154,-0.0662,0.4085
0.04999369799998021,0.9146,-0.0669,0.4075
0.05185765599998149,0.9149,-0.0679,0.4077
0.054450000000002774,0.9146,-0.0652,0.4072
0.058249270999993996,0.9146,-0.066,0.4077
0.05917937499998516,0.9149,-0.0669,0.4077
0.06311536399999795,0.9164,-0.0669,0.4063
0.06526697900000045,0.9168,-0.0664,0.4065
0.06700718700000152,0.9154,-0.0657,0.4072
0.0693336979999799,0.9137,-0.0657,0.4072
0.07163197899998863,0.9139,-0.0655,0.4075
0.07456687499998793,0.9134,-0.0657,0.4094
0.08137083299999404,0.9129,-0.066,0.4092
0.08214645799998266,0.9124,-0.066,0.4087
0.0825859370000046,0.9122,-0.0655,0.4082
0.08494911399998273,0.9129,-0.0672,0.4075
0.08666822899999715,0.9132,-0.0674,0.4072
0.08915400999998724,0.9139,-0.0672,0.407
0.09246463499999891,0.912,-0.0677,0.4077
0.09503437499998313,0.912,-0.0655,0.4072
0.09767098899999382,0.9112,-0.0645,0.408
0.09942020799999796,0.9112,-0.0657,0.4087
0.1024695829999871,0.9122,-0.0662,0.4082
0.10528578099999208,0.9127,-0.065,0.4077
0.10754713500000435,0.9132,-0.0638,0.4072
0.10980791699998349,0.9124,-0.0655,0.407
0.11167468700000427,0.9132,-0.0657,0.4065
0.11547833299999866,0.9149,-0.0655,0.405
0.11791057299998897,0.9154,-0.0657,0.4067
0.1199074479999922,0.9159,-0.0657,0.408
0.12227953100000377,0.9146,-0.0662,0.408
0.12471119799999997,0.9146,-0.0674,0.406
0.1267104169999982,0.9156,-0.0657,0.4067
0.13021515599999134,0.9154,-0.0669,0.4063
0.1325194789999955,0.9154,-0.0652,0.4055
0.1343161979999934,0.9154,-0.0667,0.4055
0.1370230729999946,0.9164,-0.0667,0.4067
0.13931567699998482,0.9154,-0.0645,0.4072
0.14285687500000677,0.9161,-0.0647,0.4075
0.14547124999998573,0.9159,-0.065,0.4063
0.1477355209999871,0.9154,-0.0672,0.4046
0.14950369799998953,0.9156,-0.0674,0.405
0.15205432299998733,0.9149,-0.0655,0.4058
0.15438114599999153,0.9144,-0.0662,0.4053
0.15802119800000014,0.9137,-0.0652,0.4053
0.16033583300000487,0.9144,-0.0667,0.405
0.1619397919999983,0.9149,-0.0664,0.4065
0.16560994799999662,0.9139,-0.0652,0.4065
0.1683915619999823,0.9146,-0.0645,0.4063
0.16927442700000483,0.9144,-0.066,0.4072
0.1717429169999889,0.912,-0.066,0.4077
0.17727848900000254,0.9129,-0.0657,0.4065
0.1776378639999905,0.9127,-0.066,0.407
0.17976380199999653,0.9129,-0.065,0.4063
0.18279609399999686,0.9124,-0.0655,0.4063
0.18467645799998422,0.9124,-0.066,0.4067
0.18680312499998308,0.9144,-0.066,0.406
0.18982484399998611,0.9146,-0.064,0.4046
0.1917671349999921,0.9137,-0.065,0.4055
0.19444802099999947,0.9151,-0.0652,0.4053
0.19684734399999115,0.9156,-0.0672,0.4063
0.20087473899999964,0.9154,-0.0664,0.407
0.20174328100000594,0.9142,-0.0667,0.4065
0.20443151000000626,0.9146,-0.066,0.407
0.20725604199998315,0.9134,-0.0667,0.4082
0.20924973900000055,0.9124,-0.0647,0.4072
0.2130527079999922,0.9137,-0.0662,0.4077
0.21565723899999512,0.9144,-0.0679,0.408
0.21745598900000118,0.9146,-0.0672,0.4077
0.21997067699999207,0.9137,-0.0674,0.4077
0.22174635400000398,0.9142,-0.0664,0.4077
0.224520468999998,0.9142,-0.065,0.4075
0.22698661399999764,0.9137,-0.0669,0.406
0.22995411399998034,0.9146,-0.0686,0.4085
0.23174281199999314,0.9132,-0.0674,0.4067
0.23489057300000127,0.9122,-0.0669,0.407
0.23680400999998596,0.9129,-0.0677,0.4063
0.2416442709999842,0.9134,-0.0664,0.4058
0.24228640600000517,0.9139,-0.0655,0.4063
0.24444156199999156,0.9132,-0.0662,0.4048
0.24729572900000107,0.9122,-0.0645,0.4063
0.2499303120000036,0.9122,-0.064,0.406
0.2518349479999813,0.912,-0.0628,0.4077
0.25442473900000095,0.9127,-0.0642,0.4055
0.2582994269999972,0.9129,-0.0642,0.4053
0.25930515599998216,0.9127,-0.0642,0.4048
0.26177359400000455,0.91,-0.0652,0.4063
0.26511525999998753,0.912,-0.0628,0.407
0.26714973899998995,0.9134,-0.0645,0.407
0.27028156199997966,0.9127,-0.0623,0.4063
0.27198869800000125,0.9132,-0.063,0.407
0.27880885400000466,0.9132,-0.0635,0.4092
0.279455052000003,0.9154,-0.0618,0.4094
0.279875780999987,0.9151,-0.063,0.4082
0.28576661399998216,0.9149,-0.0628,0.4082
0.286296875000005,0.9156,-0.063,0.4102
0.28698124999999663,0.9168,-0.0623,0.4107
0.2904149480000058,0.9176,-0.065,0.4099
0.2923680730000058,0.9168,-0.064,0.4094
0.29588364599999295,0.9156,-0.065,0.4087
0.29684208300000137,0.9161,-0.0642,0.4094
0.2993214579999801,0.9173,-0.0638,0.4094
0.30306973899999434,0.9168,-0.0645,0.4089
0.30512791600000355,0.9168,-0.0655,0.4087
0.3070705730000043,0.9151,-0.0664,0.4077
0.30931864599997994,0.9151,-0.0655,0.4075
0.31178593699999624,0.9166,-0.0652,0.4072
0.3171894790000067,0.9161,-0.0655,0.407
0.31784364600000004,0.9142,-0.0672,0.4072
0.3199221870000031,0.9144,-0.0667,0.407
0.32177229100000204,0.9142,-0.0657,0.4082
0.325655103999992,0.9124,-0.064,0.407
0.32710229099998855,0.912,-0.0655,0.4065
0.32941177099999663,0.9105,-0.0647,0.4072
0.33349671899998157,0.9102,-0.0635,0.406
0.3348906249999857,0.9095,-0.0633,0.4055
0.3375820830000009,0.9085,-0.0645,0.4055
0.34052640599998085,0.9098,-0.0645,0.4077
0.3425159370000017,0.9095,-0.0657,0.4077
0.3452670309999917,0.9095,-0.0642,0.406
0.347206927000002,0.9078,-0.0664,0.4065
0.349597134999982,0.9105,-0.0662,0.4075
0.3520196350000049,0.9117,-0.0657,0.4065
0.354603333,0.9142,-0.0667,0.4055
0.35701775999999086,0.9127,-0.0652,0.407
0.3593643749999842,0.9122,-0.0662,0.4082
0.36210473899998874,0.9134,-0.0669,0.4075
0.3689551559999984,0.9139,-0.0672,0.4065
0.36956932300000744,0.9149,-0.066,0.4067
0.3699583329999996,0.9132,-0.0667,0.407
0.37300525999998513,0.9151,-0.0667,0.407
0.37664312499998687,0.9149,-0.0677,0.4053
0.37702145800000153,0.9154,-0.0667,0.406
0.3804728119999936,0.9161,-0.066,0.4058
0.3820239060000006,0.9159,-0.0664,0.406
0.38468088499999453,0.9154,-0.066,0.4058
0.3877248959999804,0.9161,-0.0674,0.4063
0.3899770829999909,0.9164,-0.0689,0.4058
0.39221317700000213,0.9156,-0.0694,0.405
0.39460078099997986,0.9161,-0.0667,0.4055
0.39690531200000123,0.9168,-0.0691,0.4028
0.4002373440000042,0.9164,-0.0684,0.4048
0.4030536980000079,0.9149,-0.0686,0.405
0.4059436979999873,0.9161,-0.0672,0.4063
0.4076782809999884,0.9151,-0.0679,0.4058
0.40946411400000216,0.9142,-0.0682,0.4048
0.41187140599998884,0.9129,-0.0672,0.406
0.4151335409999888,0.9146,-0.0662,0.4048
0.41725119800000243,0.9132,-0.0662,0.4046
0.419477655999998,0.9142,-0.066,0.4053
0.42339645799998493,0.9122,-0.0645,0.4063
0.4259347910000031,0.9144,-0.065,0.408
0.42789119799999753,0.9149,-0.0645,0.4075
0.4294783329999916,0.9134,-0.0652,0.4067
0.4325259369999799,0.9139,-0.0672,0.4077
0.43508489600000644,0.9146,-0.0657,0.4067
0.43708953099999803,0.9146,-0.0655,0.407
0.4398105209999983,0.9146,-0.0669,0.406
0.44245734399999037,0.9159,-0.0664,0.4048
0.44460317700000473,0.9159,-0.0645,0.4046
0.4483071349999932,0.9151,-0.0655,0.4043
0.4501987499999984,0.9151,-0.0655,0.4041
0.45286500000000274,0.9161,-0.0645,0.4033
0.45469192699999894,0.9176,-0.0667,0.4031
0.457125259999998,0.9181,-0.0657,0.4033
0.46031828099998506,0.9186,-0.065,0.4036
0.46191260399999123,0.9168,-0.0664,0.4041
0.46481406199998787,0.9151,-0.0667,0.4055
0.46783421899999666,0.9166,-0.0674,0.4038
0.47005400999998415,0.9164,-0.0684,0.4031
0.4776503639999987,0.9198,-0.0686,0.4036
0.4782877079999821,0.9173,-0.0691,0.4048
0.47870005199999355,0.9176,-0.0696,0.4031
0.48064296799998374,0.9159,-0.0667,0.4031
0.4836847389999832,0.9151,-0.0674,0.4036
0.48482312499999125,0.9134,-0.0684,0.4041
0.48809760399998936,0.9154,-0.0672,0.4048
0.4895181770000079,0.9139,-0.0664,0.405
0.49372333299999127,0.9144,-0.0652,0.4041
0.49465343699998243,0.9149,-0.0645,0.4046
0.49809135399999604,0.9142,-0.065,0.4046
0.49969286399999646,0.9149,-0.0647,0.4021
0.5020682809999926,0.9168,-0.065,0.4021
0.5046109889999855,0.9142,-0.0647,0.4041
0.5083111459999827,0.9132,-0.0645,0.4038
0.5099924479999913,0.912,-0.0635,0.4048
0.5120760410000003,0.9144,-0.064,0.4043
0.5147408329999905,0.9156,-0.0647,0.405
0.5171102079999912,0.9151,-0.0633,0.4065
0.5204879679999976,0.9171,-0.0652,0.4058
0.5226115099999902,0.9166,-0.0664,0.4053
0.5252458329999854,0.9166,-0.065,0.4031
0.5271467709999911,0.9159,-0.065,0.4058
0.5305217709999965,0.9154,-0.065,0.4063
0.5322855729999958,0.9159,-0.063,0.4063
0.5358656249999854,0.9146,-0.0628,0.4075
0.5370068229999845,0.9159,-0.0635,0.406
0.5415983849999861,0.9159,-0.0638,0.406
0.5427308330000074,0.9159,-0.0662,0.405
0.5461809370000026,0.9151,-0.0652,0.4038
0.5484208329999944,0.9181,-0.065,0.4046
0.5504116660000022,0.9176,-0.0657,0.405
0.5521216139999865,0.9168,-0.0652,0.4043
0.5561076040000046,0.9164,-0.0647,0.4038
0.5582476559999918,0.9164,-0.0655,0.4055
0.56052442699999,0.9154,-0.065,0.4065
0.5621243230000061,0.9144,-0.0667,0.4055
0.5660724479999999,0.9156,-0.0647,0.405
0.5672159890000046,0.9142,-0.0625,0.4058
0.5702689579999856,0.9142,-0.0638,0.406
0.5777298959999939,0.9146,-0.0652,0.4053
0.5784049479999851,0.9124,-0.0633,0.4058
0.5788396869999985,0.9102,-0.0633,0.4065
0.5808692180000037,0.9124,-0.065,0.4065
0.585232082999994,0.9129,-0.0638,0.407
0.5855820310000013,0.9124,-0.0613,0.408
0.5871697909999796,0.9137,-0.0642,0.4065
0.5899779679999995,0.9122,-0.0638,0.405
0.5924053119999826,0.9124,-0.063,0.4063
0.594676665999998,0.9154,-0.0638,0.407
0.597132552000005,0.9151,-0.062,0.4067
0.600016979000003,0.9137,-0.0647,0.4077
0.6022899479999921,0.9124,-0.0657,0.4067
