time,gFx,gFy,gFz
0.0,0.9083,-0.0872,0.4153
0.0019767709999882754,0.9085,-0.0904,0.4158
0.004628072999992128,0.9068,-0.0884,0.4153
0.007439792000013767,0.9076,-0.0884,0.416
0.009783072999994147,0.9078,-0.0889,0.4151
0.011990937000007307,0.9076,-0.0882,0.4158
0.016126615000018774,0.9071,-0.0872,0.416
0.017273750000015298,0.9059,-0.0863,0.4151
0.020027760000004946,0.9063,-0.0855,0.4153
0.02327781200000345,0.9073,-0.0892,0.4155
0.024822292000010293,0.9078,-0.088,0.4141
0.02720270800000435,0.9085,-0.0865,0.4155
0.03078979200000731,0.9093,-0.0865,0.4143
0.03547083300003351,0.9088,-0.0855,0.4133
0.03602177099998016,0.9071,-0.0857,0.4153
0.038481457999978375,0.9085,-0.0867,0.4143
0.04108468700002277,0.91,-0.0875,0.4151
0.042730936999987534,0.9098,-0.0882,0.4143
0.04485234399999172,0.9115,-0.0875,0.4121
0.047559062000004815,0.9107,-0.0857,0.4131
0.050121927000020605,0.9117,-0.0857,0.4126
0.0524511980000284,0.9095,-0.085,0.4138
0.05568968699998322,0.911,-0.0872,0.4146
0.05725489600001765,0.9107,-0.088,0.4131
0.059889271000031385,0.91,-0.0875,0.4129
0.06308843700003308,0.9105,-0.088,0.4124
0.06511807300000783,0.911,-0.0857,0.4121
0.06729963499998348,0.9122,-0.0863,0.4116
0.07067052100001092,0.9112,-0.0857,0.4119
0.07328609400002506,0.9122,-0.0884,0.4121
0.0750743749999856,0.9115,-0.0875,0.4124
0.07823963499998854,0.9124,-0.088,0.4116
0.07980703100002984,0.9132,-0.0904,0.4102
0.08229203100000859,0.9107,-0.0892,0.4094
0.08483651000000236,0.9093,-0.0872,0.4109
0.08819156200001999,0.9085,-0.0884,0.4102
0.09044239600001447,0.9115,-0.087,0.4109
0.09319328100002622,0.9124,-0.0865,0.4114
0.09487822900001674,0.911,-0.0875,0.4119
0.09779885400001831,0.9105,-0.0867,0.4114
0.09987479199998006,0.9098,-0.087,0.4109
0.10223364600000195,0.9107,-0.0872,0.4111
0.10730645799998229,0.9112,-0.0865,0.4109
0.10976625000000695,0.9107,-0.0875,0.4111
0.11042067699997915,0.911,-0.0863,0.4107
0.1132291150000242,0.9098,-0.085,0.4124
0.11553901000002043,0.9115,-0.0845,0.4129
0.11831843700002764,0.9112,-0.0865,0.4111
0.12078307299998414,0.9112,-0.0857,0.4114
0.12589187499997934,0.912,-0.088,0.4116
0.1264222400000108,0.9112,-0.0872,0.4119
0.12866031200002226,0.9107,-0.0884,0.4131
0.12986864599997716,0.9095,-0.0887,0.4133
0.13275192700001526,0.9083,-0.0884,0.4129
0.13606890599999133,0.9098,-0.0887,0.4124
0.13720354200000884,0.909,-0.0884,0.4124
0.1402344790000143,0.9095,-0.0889,0.4129
0.14278749999999718,0.9093,-0.0897,0.4124
0.14521349000000328,0.9105,-0.0902,0.4109
0.147802812000009,0.9095,-0.0899,0.4126
0.15029833300002338,0.9098,-0.0887,0.4136
0.15255500000000666,0.909,-0.0892,0.4124
0.15532395799999676,0.9081,-0.0894,0.4146
0.1579093750000311,0.909,-0.0897,0.4129
0.15982937500001526,0.9076,-0.0897,0.4133
0.16229546900001424,0.9081,-0.0902,0.4146
0.16515250000003334,0.9081,-0.0899,0.4148
0.16742119799999955,0.9085,-0.0906,0.4124
0.16978177100003222,0.9083,-0.0882,0.4136
0.17379041700002062,0.9098,-0.0889,0.4121
0.17505005200001733,0.9093,-0.0887,0.4119
0.17736682299999984,0.9093,-0.0882,0.4131
0.1810790619999807,0.9093,-0.0875,0.4124
0.18272072899998193,0.9095,-0.0875,0.4126
0.18487390600000708,0.9081,-0.0857,0.4129
0.1876433329999827,0.9081,-0.0845,0.4119
0.1898963020000224,0.9071,-0.0838,0.4116
0.19296822900003008,0.9081,-0.0838,0.4111
0.19523984400001382,0.9085,-0.084,0.4126
0.19820010400002275,0.9076,-0.083,0.4124
0.20023869800002103,0.909,-0.0835,0.4129
0.20279541700000436,0.9083,-0.0835,0.4126
0.2060361979999925,0.9095,-0.0833,0.4131
0.20738484399998924,0.9102,-0.0811,0.4141
0.21039286500001708,0.9102,-0.0823,0.4133
0.21303661400003193,0.911,-0.0828,0.4138
0.2150749479999945,0.9127,-0.0835,0.4153
0.21783213499998055,0.9107,-0.0821,0.4141
0.2198290100000122,0.9107,-0.0835,0.4146
0.22563911399998915,0.91,-0.0845,0.4143
0.22619057299999668,0.9105,-0.0848,0.416
0.22839750000002823,0.9122,-0.0855,0.4151
0.23156276000003118,0.912,-0.0857,0.4141
0.2328413540000156,0.9115,-0.0848,0.4138
0.23553270799999382,0.9124,-0.0848,0.4126
0.23730562500003316,0.9137,-0.0855,0.4129
0.2404638539999837,0.9134,-0.0845,0.4146
0.24288916699998708,0.9124,-0.087,0.4136
0.2449023959999863,0.9122,-0.0863,0.4138
0.24783234400001675,0.9132,-0.0875,0.4143
0.24987130200003094,0.9124,-0.0865,0.4124
