time,gFx,gFy,gFz
0.0,0.9156,-0.064,0.4026
0.002799009999989721,0.9166,-0.0647,0.4028
0.003949009999985265,0.9173,-0.0647,0.4026
0.007107292000000598,0.9183,-0.0647,0.4028
0.009072083000035036,0.9183,-0.0616,0.4033
0.012234167000030993,0.9164,-0.0642,0.4038
0.014363073000026816,0.9181,-0.0633,0.4019
0.01712494800000286,0.9183,-0.0652,0.4016
0.01906817700000829,0.9195,-0.066,0.4014
0.021671979000018382,0.92,-0.0652,0.4006
0.02700515600002973,0.9207,-0.0642,0.4026
0.02762974000000895,0.9207,-0.0642,0.4019
0.03052677099998391,0.9205,-0.066,0.4036
0.03456260400002975,0.9195,-0.0645,0.4019
0.03496291700002985,0.9205,-0.0647,0.4011
0.0363931770000363,0.9205,-0.0645,0.4019
0.03894651000001659,0.9176,-0.0633,0.4024
0.04189515600000959,0.9186,-0.064,0.4028
0.043856667000000016,0.9203,-0.0642,0.4011
0.04673411499999247,0.9193,-0.066,0.4011
0.04908010399998375,0.9193,-0.0674,0.4006
0.05193192699999827,0.9188,-0.066,0.4019
0.05399718799998254,0.9195,-0.0647,0.4016
0.05715916700000889,0.9195,-0.0655,0.4021
0.05893020799999249,0.9193,-0.0662,0.4038
0.06253906300003109,0.919,-0.0652,0.4038
0.0647942190000208,0.9186,-0.0664,0.4028
0.06642338500000733,0.9207,-0.0657,0.405
0.07009468799998331,0.9207,-0.0667,0.4048
0.07246286500003407,0.9193,-0.0655,0.4036
0.07452072900002804,0.9178,-0.0664,0.4046
0.0766396880000002,0.9181,-0.0667,0.4036
0.07984588499999745,0.919,-0.065,0.4028
0.08177687500000275,0.9181,-0.0655,0.4026
0.08452885399998422,0.9181,-0.0657,0.4046
0.0864050520000319,0.9181,-0.0662,0.4038
0.0891606769999953,0.9161,-0.0674,0.405
0.09165031300000237,0.9168,-0.0669,0.405
0.09457197900002257,0.9173,-0.0662,0.4021
0.09745088500000065,0.9144,-0.0677,0.4031
0.09960510400003386,0.9151,-0.0696,0.4026
0.10155817700001535,0.9161,-0.0701,0.4041
0.10554484400000774,0.9168,-0.0689,0.405
0.1068105730000184,0.9183,-0.0686,0.4053
0.11007333300000255,0.9166,-0.0689,0.4058
0.11149177100003271,0.9146,-0.0686,0.4053
0.11468208299999105,0.9161,-0.0684,0.4048
0.11652349000002005,0.9149,-0.0689,0.4053
0.11998791700000311,0.9142,-0.0674,0.4053
0.12169703099999651,0.9146,-0.0677,0.4048
0.12466224000002057,0.9146,-0.0689,0.4043
0.1270304170000145,0.9146,-0.0669,0.4048
0.13383864600001516,0.9154,-0.0669,0.405
0.13448151000000053,0.9144,-0.0667,0.4041
0.13488776000002645,0.9144,-0.0662,0.4036
0.1368644789999962,0.9151,-0.0664,0.4055
0.13983864599998697,0.9142,-0.065,0.406
0.14152937500000462,0.9137,-0.0655,0.4041
0.1443616669999983,0.9151,-0.064,0.4053
0.14636739600001647,0.9146,-0.0652,0.4046
0.14915130200000704,0.9144,-0.064,0.4053
0.1522580729999845,0.9142,-0.0638,0.4038
0.15568864599998733,0.9144,-0.0638,0.4036
0.15654114599999502,0.9146,-0.0652,0.4063
0.16025604200001453,0.9151,-0.062,0.406
0.16140833299999713,0.9154,-0.0638,0.4063
0.1643582810000339,0.9149,-0.0652,0.406
0.16769322900000816,0.9173,-0.064,0.406
0.17026854200003072,0.9161,-0.064,0.4055
0.17194744800002582,0.9151,-0.0623,0.4075
0.17427364600001738,0.9156,-0.063,0.407
0.17699625000000196,0.9161,-0.063,0.4053
0.17943848999999545,0.9166,-0.0623,0.4063
0.1819761980000294,0.9166,-0.0623,0.4053
0.1840373960000079,0.9154,-0.0642,0.4065
0.18705765600003588,0.9149,-0.0652,0.406
0.1893457809999859,0.9181,-0.064,0.4082
0.19152401000002328,0.9171,-0.0642,0.4063
0.19417182300003333,0.9171,-0.065,0.4063
0.19699781200000643,0.9156,-0.0664,0.4063
0.19971161500001244,0.9159,-0.0652,0.4063
0.20145578099999284,0.9146,-0.0664,0.4053
0.20467651000001297,0.9139,-0.0652,0.407
0.20673625000000584,0.9142,-0.066,0.4072
0.20982666700001573,0.9146,-0.0657,0.406
0.2122154690000002,0.9137,-0.0647,0.4072
0.2141742709999903,0.9139,-0.0642,0.4075
0.21665395799999487,0.9142,-0.0662,0.408
0.2191887500000007,0.9154,-0.0669,0.4085
0.2263689060000047,0.9134,-0.0635,0.4082
0.227035729000022,0.912,-0.0642,0.4085
0.2274530729999924,0.9124,-0.066,0.4077
0.23269187500000044,0.9093,-0.0655,0.4089
0.2332585419999873,0.9088,-0.0655,0.4089
0.23409010400001762,0.911,-0.0655,0.4087
0.23664791700002752,0.911,-0.0662,0.4067
0.23965557299999318,0.9105,-0.0647,0.4067
0.24204484400002002,0.9115,-0.0672,0.405
0.24404036499998938,0.9124,-0.0679,0.4063
0.247056146000034,0.912,-0.0647,0.4065
0.250010312000029,0.9124,-0.0647,0.405
0.25151609400001007,0.9134,-0.0652,0.4048
0.25445401000001766,0.9127,-0.0645,0.4055
0.25686718700001165,0.9129,-0.0635,0.4053
0.259626561999994,0.9146,-0.0642,0.4067
0.26214234399998304,0.9142,-0.0642,0.4055
0.264134375000026,0.9137,-0.063,0.4065
0.2665421350000088,0.9122,-0.0633,0.4063
0.2692295310000077,0.9134,-0.0625,0.407
0.2722883330000059,0.9144,-0.064,0.4085
0.27467385400001376,0.9132,-0.0633,0.4077
0.276599530999988,0.9132,-0.0638,0.4072
0.27968974000003755,0.9132,-0.0647,0.406
0.28212979200003474,0.9156,-0.0642,0.407
0.28404812500002663,0.9159,-0.0647,0.4058
0.28774166700003434,0.9144,-0.0635,0.4072
0.2893903650000311,0.9151,-0.0645,0.4067
0.29262859400000707,0.9149,-0.0655,0.406
0.29407901000001857,0.9156,-0.063,0.407
0.2972271350000142,0.9137,-0.0638,0.407
0.29924880200002235,0.9154,-0.0638,0.4072
0.3028518230000259,0.9156,-0.0633,0.4072
0.3045310940000263,0.9161,-0.0638,0.4077
0.3066813020000154,0.9159,-0.0623,0.4089
0.3102992710000194,0.9166,-0.064,0.4075
0.31270046899999215,0.9144,-0.0657,0.4082
0.3150828640000327,0.9139,-0.0667,0.4089
0.31778104200003554,0.9151,-0.0655,0.408
0.32008833300000106,0.9139,-0.0664,0.4075
0.3221396870000035,0.9127,-0.0652,0.4087
0.3241655209999976,0.9132,-0.0662,0.4077
0.3279816670000173,0.9134,-0.0652,0.4082
0.3325072920000025,0.9132,-0.0667,0.4075
0.3330693750000364,0.9122,-0.0672,0.407
0.33566437500002166,0.9127,-0.0662,0.4092
0.33779114600002913,0.9122,-0.0642,0.4085
0.3397952079999982,0.911,-0.0645,0.4055
0.34185640600003353,0.9098,-0.0628,0.4065
0.3440180210000108,0.91,-0.0623,0.4072
0.3474914060000174,0.91,-0.0608,0.407
0.3491951560000075,0.9095,-0.0611,0.4077
0.3515220310000018,0.9088,-0.0608,0.4067
0.3546338020000235,0.909,-0.0625,0.4058
0.35744531199998164,0.9107,-0.063,0.4063
0.359194427000034,0.912,-0.0625,0.406
0.3627101040000298,0.9112,-0.062,0.4065
0.36470541699998194,0.9127,-0.0625,0.4058
0.3671005730000161,0.9137,-0.0628,0.406
0.3699475000000234,0.9134,-0.0599,0.406
0.37174390600000606,0.9122,-0.0616,0.4041
0.37470348900001227,0.9137,-0.0623,0.4048
0.37739557300000115,0.9139,-0.0635,0.406
0.37996197900002926,0.9159,-0.0645,0.4058
0.38178911400001425,0.9166,-0.0645,0.4053
0.38406151000003774,0.9178,-0.0647,0.4058
0.38703765600001816,0.9193,-0.0642,0.4058
0.38923317699999416,0.9186,-0.0642,0.4058
0.39281312500003196,0.9183,-0.0655,0.4036
0.39444885400001795,0.9176,-0.0662,0.4036
0.39676817700001266,0.9164,-0.0633,0.4048
0.40026812500002507,0.9159,-0.0635,0.4058
0.40260291700002426,0.9146,-0.064,0.405
0.4042182290000369,0.9149,-0.062,0.4055
0.4069452599999863,0.9142,-0.0608,0.4063
0.4102749479999943,0.9159,-0.0613,0.4067
0.4125181250000196,0.9149,-0.0596,0.405
0.41433098900000687,0.9156,-0.0603,0.405
0.4166632810000124,0.9156,-0.064,0.4055
0.4193802600000254,0.9161,-0.0633,0.405
0.4228969790000292,0.9159,-0.0625,0.405
0.425280937000025,0.9146,-0.0623,0.4046
0.42802609400001757,0.9137,-0.064,0.4046
0.43386666700001797,0.9142,-0.0625,0.4043
0.4344415099999992,0.9144,-0.0628,0.4046
0.4348039060000133,0.9132,-0.062,0.406
0.4488313539999922,0.9132,-0.0625,0.405
0.4492747390000318,0.9144,-0.0633,0.4043
0.4494532809999896,0.9161,-0.063,0.405
0.4496869790000346,0.9151,-0.0635,0.405
0.450383697999996,0.9161,-0.066,0.4058
0.4507707289999985,0.9173,-0.064,0.4046
0.45284968700002537,0.9178,-0.0642,0.4046
