time,gFx,gFy,gFz
0.0,0.9078,-0.0843,0.4138
0.001504896000028566,0.9085,-0.0835,0.4124
0.003986354000005576,0.9078,-0.0823,0.4109
0.006644739000023492,0.9071,-0.0838,0.4102
0.010123333000024104,0.9063,-0.0843,0.4104
0.011887343000012152,0.9076,-0.0848,0.4089
0.01452281199999561,0.9061,-0.0835,0.4107
0.016395573000011154,0.9061,-0.0855,0.4085
0.01966552099997898,0.9066,-0.0855,0.4097
0.022120781000012357,0.9066,-0.0848,0.4092
0.024703073000011955,0.9071,-0.084,0.4082
0.028376197999989472,0.9063,-0.0843,0.4107
0.029100625000012315,0.9073,-0.0845,0.4107
0.03144036399999095,0.9061,-0.0848,0.4097
0.034563592999973025,0.9061,-0.0843,0.4104
0.036386718000017026,0.9044,-0.084,0.4099
0.03897192699997731,0.9061,-0.0867,0.4116
0.041653698000004624,0.9071,-0.0848,0.4114
0.04431812500001797,0.9078,-0.0845,0.4109
0.04962864599997374,0.9093,-0.086,0.4099
0.05023984299998574,0.9088,-0.0848,0.4092
0.052666978999980074,0.9083,-0.0845,0.4085
0.05707942700001922,0.909,-0.0835,0.4085
0.05770864599998049,0.9076,-0.0855,0.4094
0.05888270799999873,0.9088,-0.0852,0.4092
0.06193479099999877,0.9081,-0.084,0.4092
0.0642028120000191,0.9095,-0.0826,0.4097
0.0665139060000115,0.9095,-0.0818,0.4097
0.06902750000000424,0.9098,-0.0828,0.4097
0.07315281199998935,0.9095,-0.0818,0.4072
0.0746786459999953,0.9105,-0.0804,0.4067
0.07642656199999465,0.9107,-0.0801,0.4063
0.08028802100000121,0.9098,-0.0806,0.4038
0.08160994799999344,0.909,-0.0808,0.406
0.08450890599999639,0.91,-0.0801,0.4067
0.08722119800000883,0.9088,-0.0808,0.4067
0.08899765600000364,0.9085,-0.0801,0.4065
0.09245916600002602,0.9112,-0.0791,0.4063
0.0949739580000255,0.9122,-0.0784,0.4072
0.09657270799999651,0.9124,-0.0804,0.4075
0.10010666599998785,0.9129,-0.0799,0.4067
0.10321343700002217,0.9132,-0.0804,0.4055
0.10418723899999804,0.9142,-0.0821,0.405
0.10658067700001084,0.9142,-0.0811,0.4048
0.11004343700000163,0.9146,-0.0811,0.4048
0.11180171799998107,0.9146,-0.0796,0.4055
0.11426880200002643,0.9161,-0.0821,0.4048
0.11769593700000769,0.9181,-0.0848,0.4055
0.11939463499999192,0.9193,-0.0877,0.4097
0.12157958300002747,0.9207,-0.0865,0.408
0.12414302100000896,0.9178,-0.083,0.4026
0.12698447899998655,0.9186,-0.0794,0.3963
0.12910364599997592,0.919,-0.0772,0.395
0.13227718699999969,0.9183,-0.0774,0.3963
0.13418052100001887,0.92,-0.0801,0.3975
0.13674020799999198,0.9227,-0.0828,0.3987
0.13984619799998654,0.9244,-0.0843,0.3987
0.1423015620000001,0.9261,-0.085,0.3987
0.14752796800001988,0.9264,-0.085,0.3977
0.14825312499999654,0.9254,-0.085,0.3977
0.1506066659999874,0.9266,-0.086,0.3945
0.15215875000001233,0.9276,-0.0867,0.3921
0.15554551999997557,0.9269,-0.0867,0.3926
0.15732682300000533,0.9266,-0.088,0.3931
0.15887822899998127,0.9281,-0.0882,0.3941
0.162166405999983,0.9288,-0.0884,0.3963
0.1639983850000135,0.9288,-0.088,0.3955
0.16646177000001217,0.9288,-0.0887,0.3936
0.16918973899998946,0.9293,-0.0889,0.3931
0.17260619799998267,0.9291,-0.0899,0.3938
0.17433854099999735,0.93,-0.0899,0.3923
0.17775218700001005,0.9281,-0.0906,0.3916
0.17965973899998744,0.9266,-0.0902,0.3919
0.18231317700002592,0.9276,-0.0906,0.3943
0.18508557299998074,0.9283,-0.0904,0.3945
0.18764213499997595,0.9261,-0.0909,0.3955
0.1897714059999771,0.9256,-0.0894,0.3958
0.19169828100001496,0.9254,-0.088,0.395
0.19434296800000084,0.9256,-0.0855,0.3923
0.1966657290000171,0.9239,-0.0865,0.3941
0.19957020800001146,0.9229,-0.0865,0.3945
0.20194812500000126,0.9232,-0.0863,0.3941
0.20697010399999272,0.9225,-0.0855,0.3926
0.20844411399997398,0.922,-0.0821,0.3943
0.2089253120000194,0.9207,-0.0828,0.3948
0.21267911400002504,0.921,-0.0845,0.3948
0.21425020800000993,0.9225,-0.0843,0.3943
0.21757838500002435,0.9222,-0.0843,0.395
0.2192241139999851,0.919,-0.085,0.3967
0.22157604099999162,0.9188,-0.0826,0.3982
0.22428812499998685,0.9203,-0.0816,0.3994
0.22674432299999125,0.9217,-0.0821,0.4011
0.22913875000000417,0.9227,-0.0816,0.4011
0.23153343699999596,0.9212,-0.0794,0.4021
0.23439463500000102,0.9217,-0.0791,0.4036
0.23932963499999005,0.9203,-0.0794,0.4031
0.23992614500002674,0.9212,-0.0811,0.4036
0.24179671799998914,0.9242,-0.0821,0.4046
0.24475270800002136,0.9234,-0.0823,0.4046
0.24690026000001808,0.9242,-0.0818,0.4033
0.24896176999999398,0.9247,-0.0806,0.4028
0.251741093000021,0.9247,-0.0813,0.4024
0.25481229100000746,0.9244,-0.0808,0.3999
0.2564464060000091,0.9229,-0.0818,0.3997
0.2599992180000186,0.9225,-0.083,0.4006
0.26212416599997823,0.9229,-0.0843,0.4009
0.2649177079999845,0.922,-0.0855,0.4002
0.2665934890000017,0.921,-0.0855,0.4002
0.26982114499998033,0.9198,-0.0843,0.3997
0.27163062500000024,0.9198,-0.0838,0.3989
0.2743144789999974,0.9195,-0.085,0.4002
0.27698291600000857,0.9183,-0.0863,0.4016
0.27909322900001143,0.9173,-0.0835,0.4024
0.2817338020000193,0.9146,-0.0828,0.4046
0.2854953120000232,0.9134,-0.083,0.4033
0.287675207999996,0.9137,-0.0833,0.4024
0.28980869800000164,0.9129,-0.0835,0.4041
0.2926107810000076,0.9107,-0.0833,0.4046
0.29487817699998686,0.9105,-0.0843,0.4053
0.29653848899999957,0.9088,-0.0845,0.4067
0.2992476040000156,0.9083,-0.0843,0.4085
0.3031378640000071,0.909,-0.0838,0.4085
0.30425010400000474,0.9088,-0.083,0.4102
0.30665176999997357,0.91,-0.0808,0.4114
0.309815833000016,0.9093,-0.0811,0.4124
0.3118805729999963,0.9081,-0.0806,0.4133
0.31447406199998795,0.9078,-0.0818,0.4138
0.31700275999997984,0.9078,-0.0826,0.4146
0.3190427079999836,0.9073,-0.0816,0.4172
0.32170296800001097,0.9085,-0.0796,0.418
0.32412145799997916,0.9071,-0.0789,0.4182
0.32793036399999664,0.9085,-0.0801,0.4175
0.33039953100001185,0.909,-0.0821,0.418
0.33160031199997775,0.909,-0.083,0.4194
0.33518088499999976,0.909,-0.0835,0.4175
0.33752848900002164,0.909,-0.0828,0.4175
0.3400323430000185,0.9071,-0.0808,0.418
0.34288921799998207,0.9063,-0.0818,0.417
0.351753905999999,0.9059,-0.0826,0.416
0.35293046800001093,0.9071,-0.0843,0.4155
0.35363598899999715,0.9054,-0.0833,0.4153
0.35383130200000323,0.9032,-0.0838,0.4155
0.3542617179999752,0.901,-0.0835,0.4163
0.356549321999978,0.901,-0.0823,0.4165
0.35996843700002046,0.9027,-0.0823,0.4168
0.36236026000000265,0.9024,-0.084,0.4168
0.3640507810000031,0.9017,-0.0848,0.4185
