time,gFx,gFy,gFz
0.0,0.9115,-0.064,0.4058
0.00040869699998324904,0.9122,-0.064,0.4058
0.0006034889999853021,0.9127,-0.0642,0.4053
0.0007912490000023809,0.9132,-0.0647,0.4046
0.0023192699999867727,0.9134,-0.0633,0.4041
0.0037164059999952315,0.9146,-0.065,0.4036
0.008009842999996408,0.9132,-0.0642,0.4048
0.008745207999993454,0.9144,-0.064,0.4043
0.011270051999986208,0.9132,-0.0652,0.4053
0.01389333299999862,0.9127,-0.0647,0.4046
0.01688588499999355,0.9139,-0.064,0.4033
0.018752290999998422,0.9144,-0.0623,0.4043
0.02218020799998044,0.9156,-0.0623,0.4053
0.02406369700000255,0.9151,-0.063,0.4043
0.026381301999975904,0.9149,-0.0616,0.4053
0.02975984299999368,0.9156,-0.0633,0.4036
0.03272354099999575,0.9159,-0.063,0.4046
0.03435197899997888,0.9156,-0.0623,0.406
0.037507030999989865,0.9176,-0.0616,0.4053
0.04003135399997859,0.9176,-0.0633,0.405
0.04304385399998978,0.9193,-0.0645,0.4053
0.04442062399999713,0.9195,-0.064,0.4055
0.04724468699998852,0.9195,-0.0635,0.4053
0.049075207999976556,0.9193,-0.0652,0.4036
0.05194062399999666,0.9217,-0.0657,0.4046
0.05490729099997793,0.9212,-0.0664,0.4048
0.05691104099997801,0.9212,-0.0667,0.4043
0.058828906000002235,0.9186,-0.0679,0.4048
0.062465936999984706,0.9195,-0.0674,0.4046
0.06474119699998937,0.9203,-0.0662,0.4048
0.06683426999998687,0.9186,-0.0667,0.4043
0.06881390600000259,0.9181,-0.0682,0.4041
0.07148979099997632,0.9212,-0.0674,0.4048
0.0743161970000017,0.9207,-0.0686,0.4038
0.07776604099998963,0.9212,-0.0682,0.4033
0.07982041599998979,0.9183,-0.0674,0.4028
0.08191354099997739,0.9181,-0.0669,0.4036
0.08423270800000182,0.9168,-0.0672,0.4026
0.08706213499999649,0.9151,-0.0664,0.4026
0.08949546799999553,0.9144,-0.0664,0.4026
0.09188249899997913,0.9146,-0.066,0.4016
0.0938398429999836,0.9159,-0.065,0.4016
0.09745578099997942,0.9149,-0.0655,0.4021
0.10317312399999423,0.9142,-0.064,0.4009
0.103884843000003,0.9166,-0.0623,0.3999
0.10432494699998074,0.9146,-0.064,0.4002
0.10980760399999667,0.9149,-0.0642,0.3994
0.11029421799997863,0.9161,-0.0647,0.4019
0.11139380199998072,0.9166,-0.064,0.4006
0.11377697899999362,0.9161,-0.0667,0.398
0.11681145800000081,0.9166,-0.0674,0.3987
0.11882973899997751,0.9183,-0.0655,0.4016
0.12156906199999185,0.9176,-0.065,0.4014
0.12493900999999141,0.9183,-0.0667,0.3997
0.1263344269999891,0.9203,-0.0664,0.4004
0.12979619699999034,0.9229,-0.0664,0.3997
0.1319251559999941,0.9234,-0.0667,0.3992
0.1342658330000006,0.9227,-0.0672,0.4002
0.1368075519999934,0.9234,-0.0674,0.3999
0.14221729099998015,0.9239,-0.0694,0.4004
0.14355661399997643,0.9249,-0.0708,0.4004
0.14439416599998367,0.9259,-0.0708,0.3989
0.14918833299998369,0.9259,-0.0686,0.3992
0.1502939579999918,0.9264,-0.0694,0.3994
0.15157765600000062,0.9234,-0.0699,0.4002
0.15434229099997765,0.922,-0.0689,0.3999
0.15669859299998734,0.9237,-0.0704,0.3992
0.158843853999997,0.9234,-0.0711,0.3997
0.16132911399998306,0.9225,-0.0701,0.3984
0.16438098899999432,0.922,-0.0696,0.4004
0.1666727599999831,0.9225,-0.0696,0.3982
0.17006880200000296,0.9205,-0.0691,0.398
0.17157807199998842,0.9207,-0.0706,0.3987
0.1744391139999948,0.9215,-0.0713,0.3989
0.1767373949999751,0.9205,-0.0704,0.3989
0.17994531200000097,0.9203,-0.0699,0.3992
0.18256869699999356,0.9205,-0.0704,0.3982
0.18404703099997732,0.92,-0.0701,0.397
0.187135311999981,0.92,-0.0706,0.3987
0.18912421799998924,0.919,-0.0686,0.3982
0.19175114499998358,0.9198,-0.0699,0.3987
0.19400906199999213,0.9178,-0.0718,0.3989
0.19770036399998503,0.9198,-0.0721,0.3992
0.2034192179999934,0.92,-0.0728,0.3999
0.20412166599999182,0.9217,-0.0718,0.3994
0.20453958299998476,0.9188,-0.0713,0.3992
0.20964515599999345,0.9181,-0.0725,0.3997
0.21001916599999504,0.9207,-0.0718,0.3992
0.21221734299999184,0.922,-0.0716,0.3982
0.21418109299997923,0.9217,-0.0725,0.398
0.2166280719999918,0.9217,-0.0733,0.4004
0.219234790999991,0.9203,-0.0713,0.4002
0.22129114499998082,0.9234,-0.0716,0.4011
0.2259042700000009,0.922,-0.0716,0.3999
0.2271099989999925,0.9229,-0.0708,0.4011
0.22957765599997515,0.9205,-0.0716,0.4011
0.2319361449999917,0.9207,-0.0725,0.4006
0.23438197899997704,0.922,-0.0704,0.4009
0.23654958299999862,0.9217,-0.0708,0.4009
0.23933859299998517,0.9207,-0.0708,0.4014
0.2419112489999975,0.921,-0.0718,0.4016
0.2439455199999827,0.9198,-0.0706,0.4006
0.2474478119999901,0.9198,-0.0704,0.4004
0.24930401000000302,0.921,-0.0718,0.3994
0.25150588500000026,0.9183,-0.0706,0.4006
0.25507421799997587,0.9173,-0.0706,0.4024
0.2574039059999791,0.919,-0.0689,0.4033
0.25891218699999285,0.9173,-0.0677,0.4036
0.26248713499998644,0.9173,-0.0679,0.4036
0.2650766659999988,0.9168,-0.0669,0.4043
0.26653374899998994,0.9171,-0.0669,0.4046
0.2694922909999775,0.9168,-0.0672,0.4048
0.27230187399999295,0.9166,-0.0669,0.4041
0.27405031199998575,0.9166,-0.0674,0.4038
0.2765779159999795,0.9156,-0.0682,0.4038
0.27943900999997595,0.9168,-0.0686,0.4043
0.28244072900000106,0.9166,-0.0667,0.4046
0.2849528639999903,0.9161,-0.0679,0.4041
0.2868470309999793,0.9146,-0.0667,0.4041
0.28935458299997663,0.9151,-0.0677,0.4038
0.291769998999996,0.9146,-0.0657,0.4041
0.29533197899999664,0.9149,-0.0664,0.4053
0.2975890619999859,0.9149,-0.0684,0.4036
0.3036465619999831,0.9156,-0.0677,0.4046
0.3042340099999876,0.9156,-0.0662,0.4046
0.3045967699999892,0.9161,-0.0679,0.406
0.311155728999978,0.9154,-0.0662,0.4067
0.31173864499999127,0.9146,-0.0657,0.4067
0.3119356759999903,0.9137,-0.0677,0.4067
0.3139613539999857,0.9142,-0.065,0.4067
0.317123123999977,0.9129,-0.0657,0.4058
0.319038436999989,0.9134,-0.0655,0.4065
0.3224956759999884,0.9146,-0.065,0.4075
0.32445744699998613,0.9127,-0.064,0.407
0.3266001559999836,0.9139,-0.063,0.4063
0.32992692599998463,0.9137,-0.0625,0.407
0.3321990099999823,0.9137,-0.0635,0.4075
0.334046925999985,0.9127,-0.0647,0.4053
0.33770239499997956,0.9117,-0.0642,0.4065
0.33988041599999974,0.9117,-0.0625,0.4065
0.34191239499998005,0.9107,-0.0638,0.4082
0.3439716139999973,0.9117,-0.063,0.4058
0.3476076039999896,0.9112,-0.0635,0.4063
0.3490633329999753,0.9132,-0.0638,0.4072
0.3525406239999995,0.9127,-0.0623,0.4067
0.3540034369999887,0.912,-0.0642,0.4067
0.35701557199999456,0.912,-0.0647,0.4082
0.3593436449999956,0.9105,-0.0652,0.4077
0.3627741139999898,0.9105,-0.0652,0.4048
0.3651174469999887,0.9127,-0.0635,0.4065
0.36720104099998707,0.912,-0.0645,0.4077
0.3689802079999822,0.9132,-0.0638,0.4063
0.37189812399998345,0.9132,-0.0633,0.4067
0.3743707289999918,0.9134,-0.0655,0.4058
0.37687489499998605,0.911,-0.065,0.4067
0.379921822,0.9122,-0.0635,0.407
0.381637655999981,0.9127,-0.0623,0.4063
0.38507239499998036,0.9112,-0.064,0.4065
0.38657270799998855,0.9137,-0.064,0.406
0.3893567179999877,0.9134,-0.0647,0.406
0.3920255719999943,0.9132,-0.0628,0.408
0.39488010399998075,0.912,-0.0638,0.4082
0.3973522909999758,0.9117,-0.0638,0.4085
0.4027991139999756,0.9117,-0.0635,0.4077
0.4031818219999934,0.9134,-0.0647,0.4077
0.4040303120000033,0.9124,-0.0638,0.4075
0.4096245829999816,0.9134,-0.0652,0.4075
0.40993057199997907,0.9132,-0.065,0.407
0.4114880719999974,0.9122,-0.065,0.406
0.4139823949999766,0.9122,-0.0667,0.406
0.41703005099998336,0.912,-0.0655,0.406
0.41947145799997543,0.9127,-0.0647,0.4058
0.42260338500000216,0.9139,-0.0647,0.4058
0.4244718739999769,0.9134,-0.0662,0.4058
0.42797828099998014,0.912,-0.0672,0.408
0.4292206759999999,0.9127,-0.0669,0.4089
0.43203468699999803,0.911,-0.0674,0.4092
0.4340769259999888,0.9105,-0.0669,0.4085
0.4371749469999884,0.9098,-0.0667,0.4087
0.4398786449999932,0.9105,-0.0652,0.408
0.44172630099998855,0.9102,-0.0672,0.4065
0.44398536399998534,0.911,-0.0652,0.4053
0.4466886449999947,0.9105,-0.0652,0.406
0.4495638530000008,0.9105,-0.0669,0.4063
0.4520659889999763,0.9107,-0.0699,0.4075
0.45443510299998024,0.9085,-0.0679,0.408
0.4568085409999867,0.91,-0.0662,0.4087
0.45927203099998337,0.9107,-0.0669,0.4075
0.46150999899998624,0.911,-0.0689,0.4067
0.4647314059999985,0.9112,-0.0699,0.4058
0.4672716659999878,0.911,-0.0699,0.4055
0.46930093699998565,0.9134,-0.0679,0.4053
0.47279869700000177,0.912,-0.0691,0.4043
0.4740527079999879,0.9107,-0.0711,0.4036
0.47672624899999505,0.91,-0.0699,0.4041
0.4799395829999753,0.9102,-0.0711,0.4036
0.48221150999998486,0.9076,-0.0679,0.4028
0.4851696869999955,0.9059,-0.0669,0.4009
0.4866868219999958,0.9059,-0.0652,0.3997
0.4891446350000024,0.9049,-0.0662,0.3999
0.49257671799998093,0.9015,-0.0642,0.3994
0.49529583300000013,0.901,-0.0633,0.3992
0.5030104159999951,0.9007,-0.0606,0.3994
0.5034561450000012,0.8998,-0.0569,0.4002
0.5039836969999953,0.8985,-0.0586,0.3994
0.5043739059999837,0.8985,-0.055,0.3992
0.5084185409999975,0.898,-0.055,0.4002
0.509111613999977,0.8983,-0.055,0.4002
0.5122652599999924,0.8988,-0.0564,0.4011
0.5141243739999766,0.8998,-0.0559,0.4036
0.5167072389999987,0.9,-0.0555,0.4031
