time,gFx,gFy,gFz
0.0,0.9254,0.0144,0.3889
0.0026761979999037067,0.9247,0.0146,0.3894
0.005245676999948046,0.9217,0.0151,0.3879
0.008381145999919681,0.922,0.0144,0.3877
0.009413280999979179,0.9217,0.0134,0.3899
0.013688020999893524,0.9212,0.0115,0.3906
0.01594900999998572,0.9215,0.0115,0.3877
0.018368593999980476,0.921,0.0115,0.3884
0.02334416699989106,0.919,0.012,0.3865
0.02404781199993522,0.9195,0.011,0.3843
0.025976197999966644,0.9183,0.011,0.3858
0.027297030999989147,0.9195,0.0098,0.3848
0.03015932299990709,0.9193,0.0103,0.3865
0.03263166699991871,0.9205,0.0107,0.3843
0.034331405999978415,0.9217,0.0117,0.3838
0.03784249999989697,0.9222,0.0115,0.3843
0.04018947899999148,0.9217,0.01,0.384
0.04234906199997113,0.9212,0.0103,0.3858
0.04440265599998838,0.9225,0.0115,0.3838
0.04821802099991146,0.9212,0.0125,0.3836
0.04950874999997268,0.9229,0.011,0.3843
0.052627603999894745,0.921,0.01,0.384
0.05441802099994675,0.9217,0.0088,0.3848
0.05712786499998401,0.922,0.0083,0.3845
0.0604297919999226,0.921,0.0095,0.3855
0.06213942699992003,0.9234,0.011,0.3848
0.06471427099995708,0.9239,0.0107,0.3845
0.06746072899989031,0.9229,0.0125,0.3845
0.07037718699996276,0.9229,0.0112,0.3845
0.07217239599992809,0.9237,0.011,0.384
0.0755466669999123,0.9232,0.01,0.3836
0.07760145799989004,0.9256,0.0093,0.3843
0.07960661499998878,0.9232,0.0122,0.3843
0.08317255199995088,0.9237,0.011,0.3838
0.08468197899992447,0.9249,0.01,0.3838
0.08766395799989368,0.9229,0.0105,0.3843
0.09051296899997396,0.9237,0.0112,0.3843
0.09206239599996024,0.9247,0.0122,0.3843
0.09509442699993542,0.9266,0.0105,0.3845
0.09735317699994539,0.9269,0.0098,0.386
0.10018275999993875,0.9259,0.0103,0.3853
0.10312229199996636,0.9261,0.0112,0.385
0.10460020799996528,0.9254,0.01,0.386
0.10716400999990583,0.9254,0.01,0.386
0.11049958299997797,0.9261,0.011,0.385
0.11332890599999246,0.9259,0.0105,0.386
0.11531421899996985,0.9259,0.011,0.3867
0.117140936999931,0.9261,0.0103,0.3858
0.12285213499990277,0.9251,0.0125,0.3855
0.12352656199993817,0.9276,0.0127,0.3862
0.12622708299988972,0.9269,0.0137,0.3862
0.13040869799999655,0.9261,0.0134,0.386
0.13081078099992283,0.9259,0.0144,0.387
0.13235437499997715,0.9232,0.0127,0.386
0.13649260399995455,0.9244,0.011,0.3858
0.1376692709999361,0.9264,0.0112,0.3875
0.13964260399995965,0.9251,0.0127,0.3867
0.14212953099990955,0.9271,0.0144,0.386
0.14449713499993777,0.9264,0.0137,0.3858
0.1476209369999424,0.9259,0.0137,0.386
0.1494960939999146,0.9264,0.0129,0.3865
0.1533653649998996,0.9251,0.012,0.3867
0.15454593699996622,0.9256,0.0107,0.3862
0.15771786499999507,0.9254,0.0105,0.3862
0.15999900999997863,0.9254,0.011,0.3862
0.16216770799996993,0.9247,0.011,0.3867
0.1646547399999463,0.9239,0.0112,0.3872
0.1676772919998939,0.9239,0.011,0.3853
0.16962546899992503,0.9239,0.0115,0.3865
0.17266062499993495,0.9234,0.0098,0.3865
0.17453828099996826,0.921,0.01,0.3858
0.17723781199993027,0.9227,0.0112,0.3862
0.17960953099998278,0.9225,0.0107,0.386
0.18205275999991954,0.922,0.011,0.385
0.18475593699997717,0.9212,0.0117,0.3848
0.1885171870000022,0.9225,0.0115,0.3848
0.1896758849999287,0.9229,0.0112,0.3855
0.1931455729999243,0.9229,0.012,0.385
0.19534213499991893,0.9225,0.0129,0.3843
0.19725328099991657,0.9234,0.0122,0.385
0.1997931769999468,0.922,0.0125,0.3858
0.20268182299992077,0.9225,0.0139,0.385
0.20520119799994063,0.9227,0.0125,0.3858
0.20821703099989008,0.9225,0.0127,0.385
0.21049072899995735,0.9239,0.0139,0.386
0.21228166699995654,0.9227,0.0151,0.3848
0.21581067699992218,0.9232,0.0134,0.3865
0.21763791699993362,0.9232,0.0127,0.386
0.2252169269999058,0.9239,0.0132,0.3877
0.22552942699996947,0.9244,0.0146,0.3862
0.22571562499990705,0.9247,0.012,0.385
0.22880161399996268,0.9232,0.0125,0.3853
0.2296029169999656,0.9254,0.0112,0.3855
0.23252088499998536,0.9271,0.0125,0.3875
0.23526270799993654,0.9247,0.0122,0.3867
0.23719645799997124,0.9244,0.0107,0.3872
0.2398769789999733,0.9251,0.0127,0.3875
0.24255348899998808,0.9256,0.0132,0.3879
0.24507666699992114,0.9249,0.0117,0.3862
0.24846468699990965,0.9254,0.0129,0.387
0.24962671899993438,0.9242,0.011,0.3848
0.25305885399995987,0.9259,0.011,0.384
0.25508687499996086,0.9249,0.0127,0.386
0.25768369799993707,0.9239,0.0112,0.3865
0.2608496869999044,0.9239,0.01,0.3862
0.2624844789999088,0.9239,0.0132,0.3867
0.2652317189999849,0.9232,0.0144,0.3858
0.2678417709998939,0.9229,0.0146,0.3858
0.2702605209999547,0.9225,0.0149,0.3865
0.27217333299995516,0.9225,0.0149,0.3862
0.27465395799993075,0.9232,0.0144,0.3858
