time,gFx,gFy,gFz,TgF
0.001666927,-0.2321,0.3105,0.7512,0.845
0.002007864,-0.2316,0.3066,0.7478,0.841
0.00346875,-0.2365,0.3032,0.7478,0.841
0.006141614,-0.2436,0.3019,0.7478,0.842
0.008338489,-0.2511,0.2980,0.7529,0.848
0.012104844,-0.2587,0.2961,0.7607,0.856
0.013329635,-0.2653,0.2936,0.7656,0.862
0.015737812,-0.2707,0.2922,0.7678,0.865
0.018495937,-0.2739,0.2885,0.7683,0.865
0.023025052,-0.2770,0.2846,0.7695,0.866
0.023378802,-0.2819,0.2800,0.7698,0.866
0.025810469,-0.2912,0.2770,0.7693,0.868
0.028157291,-0.3015,0.2736,0.7700,0.871
0.032155781,-0.3100,0.2697,0.7683,0.871
0.03351651,-0.3137,0.2670,0.7698,0.873
0.03566625,-0.3137,0.2629,0.7681,0.870
0.038381458,-0.3124,0.2541,0.7646,0.864
0.040946666,-0.3095,0.2472,0.7632,0.860
0.043187552,-0.3071,0.2421,0.7593,0.854
0.04760375,-0.3037,0.2392,0.7554,0.849
0.048512031,-0.3024,0.2348,0.7510,0.843
0.052295989,-0.2990,0.2309,0.7466,0.837
0.053371927,-0.2975,0.2277,0.7424,0.832
0.0558225,-0.2980,0.2235,0.7385,0.827
0.058474114,-0.2990,0.2201,0.7336,0.822
0.060872291,-0.3073,0.2160,0.7265,0.818
0.063880937,-0.3291,0.2074,0.7124,0.812
0.065871354,-0.3340,0.2025,0.7028,0.804
0.068199479,-0.3271,0.2011,0.7062,0.804
0.072233021,-0.3232,0.2057,0.7062,0.803
0.073366041,-0.3200,0.2103,0.7001,0.798
0.075718802,-0.3171,0.2123,0.6957,0.794
0.078471093,-0.3176,0.2155,0.6948,0.794
0.080931354,-0.3210,0.2162,0.6953,0.796
0.083300052,-0.3276,0.2133,0.6943,0.797
0.085766093,-0.3335,0.2086,0.6914,0.795
0.088546093,-0.3418,0.2060,0.6899,0.797
0.092500521,-0.3493,0.1996,0.6882,0.797
0.093563437,-0.3550,0.1903,0.6860,0.795
0.096508385,-0.3574,0.1805,0.6826,0.791
0.098453593,-0.3596,0.1722,0.6796,0.788
0.100852239,-0.3608,0.1561,0.6760,0.782
0.103201198,-0.3598,0.1439,0.6726,0.776
0.106309271,-0.3569,0.1312,0.6699,0.770
0.108618437,-0.3535,0.1168,0.6657,0.763
0.112144948,-0.3498,0.1033,0.6628,0.757
0.113760468,-0.3454,0.0914,0.6616,0.752
0.115917187,-0.3386,0.0804,0.6603,0.746
0.118428281,-0.3305,0.0721,0.6613,0.743
0.121516146,-0.3210,0.0669,0.6618,0.739
0.123757604,-0.3127,0.0630,0.6645,0.737
0.125984323,-0.3073,0.0608,0.6650,0.735
0.128152864,-0.3044,0.0591,0.6638,0.733
0.132235052,-0.3049,0.0569,0.6591,0.728
0.133547916,-0.3107,0.0533,0.6508,0.723
0.135728073,-0.3169,0.0530,0.6444,0.720
0.138870937,-0.3244,0.0523,0.6381,0.718
0.140949375,-0.3330,0.0523,0.6339,0.718
0.143317187,-0.3430,0.0530,0.6303,0.720
0.147138281,-0.3525,0.0577,0.6298,0.724
0.148472656,-0.3601,0.0620,0.6264,0.725
0.152148073,-0.3659,0.0664,0.6239,0.726
0.153680156,-0.3765,0.0716,0.6188,0.728
0.155904166,-0.3887,0.0760,0.6120,0.729
0.158489218,-0.4024,0.0789,0.6042,0.730
0.160922812,-0.4175,0.0806,0.5927,0.729
0.163422239,-0.4368,0.0784,0.5792,0.730
0.165897552,-0.4563,0.0740,0.5663,0.731
0.168470104,-0.4771,0.0677,0.5536,0.734
0.172311458,-0.4935,0.0645,0.5441,0.737
0.173540937,-0.5042,0.0591,0.5335,0.736
0.175806562,-0.5120,0.0501,0.5225,0.733
0.178412291,-0.5140,0.0393,0.5123,0.727
0.181063333,-0.5125,0.0318,0.5042,0.720
0.183589218,-0.5055,0.0208,0.4962,0.709
0.185851198,-0.4962,0.0073,0.4879,0.696
0.188379791,-0.4876,-0.0061,0.4844,0.687
0.192455885,-0.4805,-0.0186,0.4837,0.682
0.193300625,-0.4722,-0.0337,0.4810,0.675
0.196094323,-0.4634,-0.0506,0.4815,0.670
0.198725312,-0.4539,-0.0672,0.4827,0.666
0.200931771,-0.4454,-0.0818,0.4837,0.663
0.203530052,-0.4349,-0.0960,0.4822,0.656
0.205995156,-0.4224,-0.1087,0.4791,0.648
0.208346718,-0.4148,-0.1219,0.4759,0.643
0.21250625,-0.4085,-0.1358,0.4727,0.639
0.213807291,-0.4021,-0.1483,0.4678,0.634
0.215928593,-0.4024,-0.1583,0.4642,0.634
0.218428021,-0.4031,-0.1683,0.4595,0.634
0.221050104,-0.4050,-0.1781,0.4551,0.635
0.223477291,-0.4070,-0.1859,0.4490,0.634
0.225880208,-0.4089,-0.1925,0.4400,0.631
0.228684583,-0.4111,-0.1979,0.4314,0.628
0.232563489,-0.4190,-0.2033,0.4229,0.629
0.233566875,-0.4273,-0.2067,0.4143,0.630
0.235846354,-0.4412,-0.2072,0.4089,0.636
0.238632187,-0.4554,-0.2055,0.4033,0.642
0.241046302,-0.4720,-0.2050,0.3955,0.649
0.243539896,-0.4849,-0.2025,0.3840,0.651
0.247060416,-0.4945,-0.2016,0.3679,0.648
0.248521302,-0.5047,-0.2057,0.3496,0.648
0.252308646,-0.5162,-0.2113,0.3313,0.649
0.253909948,-0.5294,-0.2172,0.3117,0.652
0.255941718,-0.5460,-0.2262,0.2917,0.659
0.258860781,-0.5607,-0.2343,0.2763,0.668
0.261016718,-0.5758,-0.2436,0.2634,0.678
0.263530468,-0.5890,-0.2519,0.2536,0.689
0.266141406,-0.6039,-0.2607,0.2489,0.703
0.268379062,-0.6188,-0.2709,0.2487,0.720
0.272528281,-0.6310,-0.2768,0.2526,0.734
0.273868437,-0.6449,-0.2831,0.2575,0.750
0.275903698,-0.6596,-0.2866,0.2651,0.766
0.278935677,-0.6718,-0.2875,0.2714,0.780
0.281455573,-0.6799,-0.2905,0.2773,0.790
0.283519583,-0.6914,-0.2936,0.2792,0.801
0.285944687,-0.6992,-0.2988,0.2824,0.811
0.288704635,-0.7092,-0.3051,0.2853,0.823
0.292468854,-0.7187,-0.3159,0.2900,0.837
0.293591302,-0.7275,-0.3242,0.2939,0.849
0.296178281,-0.7368,-0.3318,0.2966,0.861
0.298586718,-0.7466,-0.3396,0.3007,0.874
0.301064427,-0.7578,-0.3449,0.3029,0.886
0.303902031,-0.7627,-0.3506,0.3019,0.892
0.306037395,-0.7698,-0.3567,0.3027,0.901
0.308465,-0.7737,-0.3591,0.3019,0.905
0.312382343,-0.7742,-0.3655,0.2995,0.907
0.313501093,-0.7752,-0.3720,0.2944,0.909
0.316080781,-0.7774,-0.3796,0.2875,0.912
0.318819323,-0.7810,-0.3897,0.2831,0.918
0.321302552,-0.7871,-0.4026,0.2775,0.927
0.323528698,-0.7910,-0.4119,0.2724,0.933
0.325959948,-0.7964,-0.4238,0.2675,0.941
0.32878927,-0.8059,-0.4339,0.2639,0.953
0.33245875,-0.8137,-0.4402,0.2565,0.960
0.333836927,-0.8218,-0.4505,0.2487,0.970
0.33595526,-0.8321,-0.4600,0.2384,0.980
0.338781145,-0.8428,-0.4688,0.2257,0.990
0.341183333,-0.8580,-0.4725,0.2160,1.003
0.34352276,-0.8770,-0.4793,0.2055,1.020
0.346535677,-0.8963,-0.4866,0.1930,1.038
0.349489062,-0.9127,-0.4954,0.1852,1.055
0.352523489,-0.9271,-0.5018,0.1756,1.069
0.353893802,-0.9454,-0.5091,0.1671,1.087
0.356160208,-0.9618,-0.5194,0.1649,1.105
0.358547968,-0.9762,-0.5296,0.1586,1.122
0.361432291,-0.9838,-0.5401,0.1525,1.133
0.364222135,-0.9889,-0.5519,0.1471,1.142
0.366154375,-0.9948,-0.5626,0.1444,1.152
0.36838276,-1.0001,-0.5714,0.1427,1.161
0.372940677,-1.0072,-0.5787,0.1390,1.170
0.373916302,-1.0182,-0.5883,0.1383,1.184
0.375968698,-1.0285,-0.5944,0.1365,1.196
0.378759218,-1.0397,-0.5980,0.1348,1.207
0.381053333,-1.0531,-0.6012,0.1341,1.220
0.38341276,-1.0639,-0.6049,0.1331,1.231
0.386138906,-1.0774,-0.6093,0.1361,1.245
0.388540989,-1.0883,-0.6159,0.1395,1.258
0.392516875,-1.0988,-0.6261,0.1422,1.273
0.393696875,-1.1074,-0.6339,0.1449,1.284
0.396347291,-1.1167,-0.6410,0.1478,1.296
0.398570833,-1.1284,-0.6471,0.1500,1.309
0.401123593,-1.1399,-0.6527,0.1537,1.323
0.403636354,-1.1543,-0.6611,0.1581,1.340
0.406039739,-1.1682,-0.6686,0.1612,1.356
0.408687604,-1.1812,-0.6743,0.1656,1.370
0.412494895,-1.1919,-0.6850,0.1676,1.385
0.413795677,-1.2000,-0.6987,0.1688,1.399
0.415967708,-1.2032,-0.7121,0.1695,1.408
0.418652812,-1.2085,-0.7246,0.1683,1.419
0.421514427,-1.2122,-0.7434,0.1678,1.432
0.423891875,-1.2207,-0.7602,0.1698,1.448
0.425991354,-1.2318,-0.7761,0.1727,1.466
0.428920833,-1.2486,-0.7927,0.1742,1.489
0.43251,-1.2676,-0.8037,0.1769,1.511
0.433727135,-1.2938,-0.8108,0.1842,1.538
0.436153489,-1.3194,-0.8164,0.1891,1.563
0.439216927,-1.3466,-0.8179,0.1949,1.588
0.44118802,-1.3734,-0.8186,0.2030,1.612
0.443486562,-1.4018,-0.8211,0.2111,1.638
0.446188385,-1.4306,-0.8250,0.2218,1.666
0.448622135,-1.4629,-0.8269,0.2343,1.697
0.452534114,-1.4978,-0.8296,0.2492,1.730
0.453930312,-1.5300,-0.8326,0.2621,1.762
0.456338698,-1.5649,-0.8328,0.2763,1.794
0.458637135,-1.6021,-0.8294,0.2927,1.828
0.461741666,-1.6414,-0.8250,0.3076,1.863
0.463850625,-1.6776,-0.8220,0.3196,1.895
0.468401875,-1.7113,-0.8157,0.3310,1.924
0.468886666,-1.7418,-0.8045,0.3405,1.949
0.479597395,-1.7682,-0.7925,0.3506,1.969
0.48013026,-1.8173,-0.7678,0.3002,1.996
0.480393541,-1.8605,-0.7400,0.2580,2.019
0.480749427,-1.8843,-0.7131,0.2624,2.032
0.481365885,-1.9133,-0.6831,0.2582,2.048
0.483818958,-1.9441,-0.6591,0.2668,2.070
0.486747968,-1.9769,-0.6308,0.2761,2.093
0.488901875,-2.0152,-0.5973,0.2768,2.120
0.492558958,-2.0589,-0.5612,0.2780,2.152
0.493635572,-2.1005,-0.5269,0.2778,2.183
0.496234218,-2.1437,-0.4928,0.2744,2.217
